Albany, Harry S. Truman, Democratic/Liberal, 53.59
Allegany, Thomas Edmund Dewey, Republican, 71.94
Bronx, Harry S. Truman, Democratic/Liberal, 54.17
Broome, Thomas Edmund Dewey, Republican, 60.73
Cattaraugus, Thomas Edmund Dewey, Republican, 60.03
Cayuga, Thomas Edmund Dewey, Republican, 56.35
Chautauqua, Thomas Edmund Dewey, Republican, 57.47
Chemung, Thomas Edmund Dewey, Republican, 61.63
Chenango, Thomas Edmund Dewey, Republican, 70.59
Clinton, Thomas Edmund Dewey, Republican, 49.07
Columbia, Thomas Edmund Dewey, Republican, 65.89
Cortland, Thomas Edmund Dewey, Republican, 68.27
Delaware, Thomas Edmund Dewey, Republican, 73.05
Dutchess, Thomas Edmund Dewey, Republican, 64.23
Erie, Harry S. Truman, Democratic/Liberal, 51.55
Essex, Thomas Edmund Dewey, Republican, 69.9
Franklin, Thomas Edmund Dewey, Republican, 55.17
Fulton, Thomas Edmund Dewey, Republican, 60.5
Genesee, Thomas Edmund Dewey, Republican, 62.8
Greene, Thomas Edmund Dewey, Republican, 66.52
Hamilton, Thomas Edmund Dewey, Republican, 71.68
Herkimer, Thomas Edmund Dewey, Republican, 51.83
Jefferson, Thomas Edmund Dewey, Republican, 58.95
Kings, Harry S. Truman, Democratic/Liberal, 53.51
Lewis, Thomas Edmund Dewey, Republican, 62.7
Livingston, Thomas Edmund Dewey, Republican, 62.62
Madison, Thomas Edmund Dewey, Republican, 68.23
Monroe, Harry S. Truman, Democratic/Liberal, 48.57
Montgomery, Thomas Edmund Dewey, Republican, 48.9
Nassau, Thomas Edmund Dewey, Republican, 69.48
New York, Harry S. Truman, Democratic/Liberal, 51.52
Niagara, Thomas Edmund Dewey, Republican, 49.65
Oneida, Harry S. Truman, Democratic/Liberal, 49.51
Onondaga, Thomas Edmund Dewey, Republican, 53.86
Ontario, Thomas Edmund Dewey, Republican, 63.51
Orange, Thomas Edmund Dewey, Republican, 63.08
Orleans, Thomas Edmund Dewey, Republican, 69.15
Oswego, Thomas Edmund Dewey, Republican, 58.03
Otsego, Thomas Edmund Dewey, Republican, 66.55
Putnam, Thomas Edmund Dewey, Republican, 63.85
Queens, Thomas Edmund Dewey, Republican, 50.58
Rensselaer, Thomas Edmund Dewey, Republican, 56.71
Richmond, Thomas Edmund Dewey, Republican, 54.06
Rockland, Thomas Edmund Dewey, Republican, 57.9
St. Lawrence, Thomas Edmund Dewey, Republican, 60.59
Saratoga, Thomas Edmund Dewey, Republican, 61.5
Schenectady, Thomas Edmund Dewey, Republican, 52.67
Schoharie, Thomas Edmund Dewey, Republican, 61.27
Schuyler, Thomas Edmund Dewey, Republican, 69.23
Seneca, Thomas Edmund Dewey, Republican, 58.05
Steuben, Thomas Edmund Dewey, Republican, 62.44
Suffolk, Thomas Edmund Dewey, Republican, 69.75
Sullivan, Thomas Edmund Dewey, Republican, 53.2
Tioga, Thomas Edmund Dewey, Republican, 70.16
Tompkins, Thomas Edmund Dewey, Republican, 67.11
Ulster, Thomas Edmund Dewey, Republican, 64.3
Warren, Thomas Edmund Dewey, Republican, 68.89
Washington, Thomas Edmund Dewey, Republican, 68.29
Wayne, Thomas Edmund Dewey, Republican, 69.48
Westchester, Thomas Edmund Dewey, Republican, 61.11
Wyoming, Thomas Edmund Dewey, Republican, 67.78
Yates, Thomas Edmund Dewey, Republican, 73.5